                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.54325,                0.41788,                0.87808,                0.51833,                    0.9,                0.55645,                0.48184,                0.63148,                 1.5472,                 1.0623,              0.0034165,              0.0034165,              0.0034165
                    136,                0.53897,                0.51869,                 1.0121,                0.46994,                    0.9,                0.60221,                0.52535,                0.62557,                 1.6365,                 1.0447,               0.003367,               0.003367,               0.003367
                    137,                0.47304,                 0.4107,                0.92421,                0.46994,                    0.9,                0.60221,                0.52535,                0.62557,                 1.6365,                 1.0447,              0.0033175,              0.0033175,              0.0033175
                    138,                0.39703,                0.46787,                0.88767,                0.61081,                    0.8,                 0.6049,                0.53238,                0.57004,                 1.4495,                 1.0077,               0.003268,               0.003268,               0.003268
                    139,                0.48645,                0.48089,                0.90267,                0.59806,                 0.8932,                0.59619,                0.53971,                 0.5671,                 1.6024,                0.99399,              0.0032185,              0.0032185,              0.0032185
                    140,                0.49288,                 0.4652,                0.97537,                0.52035,                    0.9,                 0.5714,                 0.5173,                0.53666,                 1.4236,                0.97899,               0.003169,               0.003169,               0.003169
                    141,                0.52978,                0.45286,                0.94666,                0.52035,                    0.9,                 0.5714,                 0.5173,                0.53666,                 1.4236,                0.97899,              0.0031195,              0.0031195,              0.0031195
                    142,                0.43673,                0.37109,                0.88839,                0.52744,                0.89328,                 0.5839,                 0.5158,                0.54848,                 1.4503,                0.97875,                0.00307,                0.00307,                0.00307
                    143,                0.41128,                0.39614,                0.88839,                0.50214,                    0.8,                0.57811,                 0.5187,                0.54484,                 1.5164,                 0.9751,              0.0030205,              0.0030205,              0.0030205
                    144,                0.37937,                0.32633,                 0.8593,                0.52462,                    0.8,                0.57889,                0.51181,                0.52984,                 1.5581,                0.97541,               0.002971,               0.002971,               0.002971
                    145,                0.46106,                0.42227,                0.93899,                0.52462,                    0.8,                0.57889,                0.51181,                0.52984,                 1.5581,                0.97541,              0.0029215,              0.0029215,              0.0029215
                    146,                0.54993,                0.48027,                0.96183,                0.53122,                    0.8,                0.59049,                0.53395,                0.54709,                  1.534,                0.98237,               0.002872,               0.002872,               0.002872
